EXO	biolink:NamedThing
EXON	biolink:NamedThing
EXTRACT	biolink:NamedThing
FALDO	biolink:NamedThing
FALL	biolink:NamedThing
FAO	biolink:NamedThing
FAST-CHRONO	biolink:NamedThing
FAST-EVENT	biolink:NamedThing
FAST-EVENT-SKOS	biolink:NamedThing
FAST-FORMGENRE	biolink:NamedThing
FAST-GENREFORM	biolink:NamedThing
FAST-TITLE	biolink:NamedThing
FASTO	biolink:NamedThing
FB-BT	biolink:NamedThing
FB-CV	biolink:NamedThing
FB-DV	biolink:NamedThing
FB-SP	biolink:NamedThing
FBbi	biolink:NamedThing
FCC1	biolink:NamedThing
FDC-GDMT	biolink:NamedThing
FDSAJFAHSJK	biolink:NamedThing
FDT-O	biolink:NamedThing
FENICS	biolink:NamedThing
FG	biolink:NamedThing
FGNHNS	biolink:NamedThing
FHHO	biolink:NamedThing
FIDEO	biolink:NamedThing
FIRE	biolink:NamedThing
FISH-AST	biolink:NamedThing
FISHO	biolink:NamedThing
FIX	biolink:NamedThing
FLOPO	biolink:NamedThing
FLU	biolink:NamedThing
FLYGLYCODB	biolink:NamedThing
FMA	biolink:NamedThing
FMPM	biolink:NamedThing
FO	biolink:NamedThing
FOAF	biolink:NamedThing
FOBI	biolink:NamedThing
FOODON	biolink:NamedThing
FOVT	biolink:NamedThing
FPLX	biolink:NamedThing
FRMO	biolink:NamedThing
FTC	biolink:NamedThing
FYPO	biolink:NamedThing
G-PROV	biolink:NamedThing
GALEN	biolink:NamedThing
GAMUTS	biolink:NamedThing
GAZ	biolink:NamedThing
GBM	biolink:NamedThing
GBOL	biolink:NamedThing
GCO	biolink:NamedThing
GDCO	biolink:NamedThing
GECKO	biolink:NamedThing
GENE-CDS	biolink:NamedThing
GENO	biolink:NamedThing
GEO	biolink:NamedThing
GEOSPARQL	biolink:NamedThing
GEOSPECIES	biolink:NamedThing
GEXO	biolink:NamedThing
GFFO	biolink:NamedThing
GFO	biolink:NamedThing
GFO-BIO	biolink:NamedThing
GFVO	biolink:NamedThing
GLYCO	biolink:NamedThing
GLYCOCOO	biolink:NamedThing
GLYCORDF	biolink:NamedThing
GML	biolink:NamedThing
GMM	biolink:NamedThing
GMO	biolink:NamedThing
GNO	biolink:NamedThing
GO	biolink:NamedThing
GO-EXT	biolink:NamedThing
GO-PLUS	biolink:NamedThing
GPML	biolink:NamedThing
GRO	biolink:NamedThing
GRO-CPD	biolink:NamedThing
GRO-CPGA	biolink:NamedThing
GSSO	biolink:NamedThing
GVO	biolink:NamedThing
HAAURAADO	biolink:NamedThing
HAMIDEHSGH	biolink:NamedThing
HANCESTRO	biolink:NamedThing
HAO	biolink:NamedThing
HAROREADO	biolink:NamedThing
HASCO	biolink:NamedThing
HCDR	biolink:NamedThing
HCODONONT	biolink:NamedThing
HCPCS	biolink:NamedThing
HDMPONTO	biolink:NamedThing
HECON	biolink:NamedThing
HEIO	biolink:NamedThing
HFO	biolink:NamedThing
HGNC	biolink:NamedThing
HGNC-NR	biolink:NamedThing
HHEAR	biolink:NamedThing
HINO	biolink:NamedThing
HIO	biolink:NamedThing
HIV	biolink:NamedThing
HIVCRS	biolink:NamedThing
HIVMT	biolink:NamedThing
HIVO004	biolink:NamedThing
HL7	biolink:NamedThing
HMADO	biolink:NamedThing
HMIS033B	biolink:NamedThing
HMISLAB0115	biolink:NamedThing
HNS	biolink:NamedThing
HO	biolink:NamedThing
HOIP	biolink:NamedThing
HOM	biolink:NamedThing
HOME	biolink:NamedThing
HOOM	biolink:NamedThing
HORD	biolink:NamedThing
HP	biolink:NamedThing
HPIO	biolink:NamedThing
HP_O	biolink:NamedThing
HRDO	biolink:NamedThing
HSAPDV	biolink:NamedThing
HSO	biolink:NamedThing
HTN	biolink:NamedThing
HTO	biolink:NamedThing
HUPSON	biolink:NamedThing
HUSAT	biolink:NamedThing
I-ADOPT	biolink:NamedThing
I2SV	biolink:NamedThing
IAML-MOP	biolink:NamedThing
IAO	biolink:NamedThing
IBD	biolink:NamedThing
IBIO	biolink:NamedThing
IBO	biolink:NamedThing
ICD10	biolink:NamedThing
ICD10CM	biolink:NamedThing
ICD10PCS	biolink:NamedThing
ICD11-BODYSYSTEM	biolink:NamedThing
ICD9CM	biolink:NamedThing
ICDO	biolink:NamedThing
ICECI	biolink:NamedThing
ICEO	biolink:NamedThing
ICF	biolink:NamedThing
ICNP	biolink:NamedThing
ICO	biolink:NamedThing
ICPC2P	biolink:NamedThing
ICPS	biolink:NamedThing
ICW	biolink:NamedThing
ID-AMR	biolink:NamedThing
IDEM	biolink:NamedThing
IDG_GL	biolink:NamedThing
IDO	biolink:NamedThing
IDO-COVID-19	biolink:NamedThing
IDOBRU	biolink:NamedThing
IDODEN	biolink:NamedThing
IDOMAL	biolink:NamedThing
IDQA	biolink:NamedThing
IFAR	biolink:NamedThing
ILLNESSINJURY	biolink:NamedThing
IMGT-ONTOLOGY	biolink:NamedThing
INBANCIDO	biolink:NamedThing
INBIO	biolink:NamedThing
INBIODIV	biolink:NamedThing
INCENTIVE	biolink:NamedThing
INCENTIVE-VARS	biolink:NamedThing
INFECTION_TRANS	biolink:NamedThing
INFRA-EN	biolink:NamedThing
INFRARISK	biolink:NamedThing
INO	biolink:NamedThing
INSECTH	biolink:NamedThing
INSNAME	biolink:NamedThing
INTO	biolink:NamedThing
INVERSEROLES	biolink:NamedThing
IOBC	biolink:NamedThing
IRD	biolink:NamedThing
IRDG	biolink:NamedThing
ISO-15926-2_2003	biolink:NamedThing
ISO-ANNOTATIONS	biolink:NamedThing
ISO-FOOD	biolink:NamedThing
ISO19108TO	biolink:NamedThing
ISO19110	biolink:NamedThing
ISO19115	biolink:NamedThing
ISO19115CC	biolink:NamedThing
ISO19115CI	biolink:NamedThing
ISO19115CON	biolink:NamedThing
ISO19115DI	biolink:NamedThing
ISO19115DTC	biolink:NamedThing
ISO19115EX	biolink:NamedThing
ISO19115ID	biolink:NamedThing
ISO19115MI	biolink:NamedThing
ISO19115PR	biolink:NamedThing
ISO19115ROLES	biolink:NamedThing
ISO19115SRS	biolink:NamedThing
ISO19115TCC	biolink:NamedThing
ISO639-2	biolink:NamedThing
ISSVA	biolink:NamedThing
ITEMAS	biolink:NamedThing
ITO	biolink:NamedThing
IXNO	biolink:NamedThing
JERM	biolink:NamedThing
KENYAANC	biolink:NamedThing
KISAO	biolink:NamedThing
KORO	biolink:NamedThing
KTAO	biolink:NamedThing
LABO	biolink:NamedThing
LAND-SURFACE	biolink:NamedThing
LANDFORM	biolink:NamedThing
LBO	biolink:NamedThing
LC-CARRIERS	biolink:NamedThing
LC-MEDIA	biolink:NamedThing
LCDGT	biolink:NamedThing
LCGFT	biolink:NamedThing
LDA	biolink:NamedThing
LEGALAPA	biolink:NamedThing
LEGALAPATEST2	biolink:NamedThing
LEPAO	biolink:NamedThing
LHN	biolink:NamedThing
LICO	biolink:NamedThing
LIFO	biolink:NamedThing
LION	biolink:NamedThing
LIPRO	biolink:NamedThing
LOINC	biolink:NamedThing
LONGCOVID	biolink:NamedThing
LPT	biolink:NamedThing
LUNGMAP-HUMAN	biolink:NamedThing
LUNGMAP-MOUSE	biolink:NamedThing
LUNGMAP_H_CELL	biolink:NamedThing
LUNGMAP_M_CELL	biolink:NamedThing
M4M-20-SUBJECTS	biolink:NamedThing
M4M-20-VARIABLES	biolink:NamedThing
M4M-21-SUBJECTS	biolink:NamedThing
M4M-21-VARIABLES	biolink:NamedThing
M4M19-SUBS	biolink:NamedThing
M4M19-VARS	biolink:NamedThing
MA	biolink:NamedThing
MADS-RDF	biolink:NamedThing
MAMO	biolink:NamedThing
MARC-LANGUAGES	biolink:NamedThing
MARC-RELATORS	biolink:NamedThing
MAT	biolink:NamedThing
MATR	biolink:NamedThing
MATRCOMPOUND	biolink:NamedThing
MATRELEMENT	biolink:NamedThing
MATRROCK	biolink:NamedThing
MATRROCKIGNEOUS	biolink:NamedThing
MAXO	biolink:NamedThing
MCBCC	biolink:NamedThing
MCCL	biolink:NamedThing
MCCV	biolink:NamedThing
MCHVODANATERMS	biolink:NamedThing
MCO	biolink:NamedThing
MDDB	biolink:NamedThing
MDM	biolink:NamedThing
MEDDRA	biolink:NamedThing
MEDEON	biolink:NamedThing
MEDLINEPLUS	biolink:NamedThing
MEDO	biolink:NamedThing
MEGO	biolink:NamedThing
MELO	biolink:NamedThing
